LoanX ID,Mark Date,Bid,Offer,Depth,Evaluated Price,Close Bid,Close Offer,Close Date,Contributed
"LX121378","2020-08-28","30","33","1","31.5","30","33","2020-08-28","N"
"LX121538","2020-08-28","96.5","97.5","1","97","96.5","97.5","2020-08-28","N"
"LX121812","2020-08-28","97","100","1","98.5","97","100","2020-08-28","N"
"LX121877","2020-08-28","0","0.5","1","0.25","0","0.5","2020-08-28","N"
"LX121883","2020-08-28","0","0.5","1","0.25","0","0.5","2020-08-28","N"
"LX121884","2020-08-28","0","0.5","1","0.25","0","0.5","2020-08-28","N"
"LX121964","2020-08-28","96.5","98.5","1","97.5","96.5","98.5","2020-08-28","N"
"LX122328","2020-08-28","7","10","1","8.5","7","10","2020-08-28","N"
"LX122599","2020-08-28","1.55","1.65","1","1.6","1.55","1.65","2020-08-28","N"
"LX122830","2020-08-28","97.75","98.25","1","98","97.75","98.25","2020-08-28","N"
"LX122960","2020-08-28","93","96","1","94.5","93","96","2020-08-28","N"
"LX123115","2020-08-28","6","8","1","7","6","8","2020-08-28","N"
"LX123121","2020-08-28","99.5","100","1","99.75","99.5","100","2020-08-28","N"
"LX123150","2020-08-28","2.2","2.6","1","2.4","2.2","2.6","2020-08-28","N"
"LX123151","2020-08-28","1.5","1.75","1","1.625","1.5","1.75","2020-08-28","N"
"LX123513","2020-08-28","87","89","1","88","87","89","2020-08-28","N"
"LX123556","2020-08-28","6.333","6.958","3","6.6455","6.333","6.958","2020-08-28","N"
"LX123690","2020-08-28","95.563","97.354","6","96.4585","95.563","97.354","2020-08-28","N"
"LX123866","2020-08-28","93","95","1","94","93","95","2020-08-28","N"
"LX123875","2020-08-28","85","95","1","90","85","95","2020-08-28","N"
"LX124103","2020-08-28","4","6","1","5","4","6","2020-08-28","N"
"LX124205","2020-08-28","1","5","1","3","1","5","2020-08-28","N"
"LX124428","2020-08-28","63","73","1","68","63","73","2020-08-28","N"
"LX124429","2020-08-28","63","73","1","68","63","73","2020-08-28","N"
"LX124430","2020-08-28","63","73","1","68","63","73","2020-08-28","N"
"LX126189","2020-08-28","90","95","1","92.5","90","95","2020-08-28","N"
"LX126434","2020-08-28","60","65","1","62.5","60","65","2020-08-28","N"
"LX126435","2020-08-28","60","65","1","62.5","60","65","2020-08-28","N"
"LX126436","2020-08-28","60","65","1","62.5","60","65","2020-08-28","N"
"LX126446","2020-08-28","93.998","95.623","implied","94.8105","93.998","95.623","2020-08-28","N"
"LX126631","2020-08-28","0.95","1.1","1","1.025","0.95","1.1","2020-08-28","N"
"LX126904","2020-08-28","98.258","98.826","3","98.542","98.258","98.826","2020-08-28","N"
"LX126958","2020-08-28","10","20","1","15","10","20","2020-08-28","N"
"LX126959","2020-08-28","5","15","1","10","5","15","2020-08-28","N"
"LX127086","2020-08-28","2.22","2.23","1","2.225","2.22","2.23","2020-08-28","N"
"LX127098","2020-08-28","96","96.5","1","96.25","96","96.5","2020-08-28","N"
"LX127302","2020-08-28","99.5","100","1","99.75","99.5","100","2020-08-28","N"
"LX127554","2020-08-28","97","98","1","97.5","97","98","2020-08-28","N"
"LX127555","2020-08-28","93.873","94.873","implied","94.373","93.873","94.873","2020-08-28","N"
"LX127644","2020-08-28","0.5","0.75","1","0.625","0.5","0.75","2020-08-28","N"
"LX127645","2020-08-28","0.5","0.75","1","0.625","0.5","0.75","2020-08-28","N"
"LX127674","2020-08-28","98.75","99.75","1","99.25","98.75","99.75","2020-08-28","N"
"LX127712","2020-08-28","90","92","1","91","90","92","2020-08-28","N"
"LX127780","2020-08-28","0.1","1","1","0.55","0.1","1","2020-08-28","N"
"LX128124","2020-08-28","35","40","4","37.5","35","40","2020-08-28","N"
"LX128136","2020-08-28","7","8","1","7.5","7","8","2020-08-28","N"
"LX128137","2020-08-28","0.1","0.15","1","0.125","0.1","0.15","2020-08-28","N"
"LX128262","2020-08-28","88","90","1","89","88","90","2020-08-28","N"
"LX128339","2020-08-28","97","98","1","97.5","97","98","2020-08-28","N"
"LX128340","2020-08-28","97","98","1","97.5","97","98","2020-08-28","N"
"LX128462","2020-08-28","99.25","100","1","99.625","99.25","100","2020-08-28","N"
"LX128463","2020-08-28","98.807","99.682","implied","99.2445","98.807","99.682","2020-08-28","N"
"LX128719","2020-08-28","1","5","1","3","1","5","2020-08-28","N"
"LX128720","2020-08-28","1","5","1","3","1","5","2020-08-28","N"
"LX128842","2020-08-28","18","20","1","19","18","20","2020-08-28","N"
"LX128862","2020-08-28","4.667","7","3","5.8335","4.667","7","2020-08-28","N"
"LX128884","2020-08-28","98.807","99.682","implied","99.2445","98.807","99.682","2020-08-28","N"
"LX128917","2020-08-28","94.665","95.548","implied","95.114","94.665","95.563","2020-08-28","N"
"LX129132","2020-08-28","95.5","96.5","1","96","95.5","96.5","2020-08-28","N"
"LX129146","2020-08-28","99.5","100","1","99.75","99.5","100","2020-08-28","N"
"LX129284","2020-08-28","97","98","1","97.5","97","98","2020-08-28","N"
"LX129656","2020-08-28","5","15","1","10","5","15","2020-08-28","N"
"LX129839","2020-08-28","99.5","100","1","99.75","99.5","100","2020-08-28","N"
"LX129905","2020-08-28","92.85","94.95","5","93.9","92.85","94.95","2020-08-28","N"
"LX129907","2020-08-28","80","83.333","3","81.6665","80","83.333","2020-08-28","N"
"LX129910","2020-08-28","62","72","1","67","62","72","2020-08-28","N"
"LX129911","2020-08-28","98","103","1","100.5","98","103","2020-08-28","N"
"LX130006","2020-08-28","35","40","1","37.5","35","40","2020-08-28","N"
"LX130759","2020-08-28","45","55","1","50","45","55","2020-08-28","N"
