LoanX ID,Mark Date,Bid,Offer,Depth,Evaluated Price,Close Bid,Close Offer,Close Date,Contributed
"LX010053","2020-08-26","0.5","1.5","1","1","0.5","1.5","2020-08-26","N"
"LX051868","2020-08-26","0.01","0.01","1","0.01","0.01","0.01","2020-08-26","N"
"LX055482","2020-08-26","3","5","1","4","3","5","2020-08-26","N"
"LX059053","2020-08-26","55","65","1","60","55","65","2020-08-26","N"
"LX059054","2020-08-26","55","65","1","60","55","65","2020-08-26","N"
"LX063408","2020-08-26","83.5","91","2","87.25","83.5","91","2020-08-26","N"
"LX063449","2020-08-26","3","5","1","4","3","5","2020-08-26","N"
"LX063451","2020-08-26","3","5","1","4","3","5","2020-08-26","N"
"LX064071","2020-08-26","3","5","1","4","3","5","2020-08-26","N"
"LX064073","2020-08-26","3","5","1","4","3","5","2020-08-26","N"
"LX064209","2020-08-26","55","65","1","60","55","65","2020-08-26","N"
"LX066305","2020-08-26","55","65","1","60","55","65","2020-08-26","N"
"LX075169","2020-08-26","3.117","5.117","3","4.117","3.117","5.117","2020-08-26","N"
"LX076589","2020-08-26","3.117","5.117","3","4.117","3.117","5.117","2020-08-26","N"
"LX076609","2020-08-26","3.117","5.117","3","4.117","3.117","5.117","2020-08-26","N"
"LX080895","2020-08-26","20.833","23.167","3","22","20.833","23.167","2020-08-26","N"
"LX082074","2020-08-26","0.5","0.6","1","0.55","0.5","0.6","2020-08-26","N"
"LX089999","2020-08-26","45","55","1","50","45","55","2020-08-26","N"
"LX103169","2020-08-26","16","18","1","17","16","18","2020-08-26","N"
"LX105656","2020-08-26","0.85","1.05","1","0.95","0.85","1.05","2020-08-26","N"
"LX112434","2020-08-26","5.5","8","2","6.75","5.5","8","2020-08-26","N"
"LX112435","2020-08-26","5.5","8","2","6.75","5.5","8","2020-08-26","N"
"LX112792","2020-08-26","5.5","9","2","7.25","5.5","9","2020-08-26","N"
"LX113317","2020-08-26","4","6","1","5","4","6","2020-08-26","N"
"LX113470","2020-08-26","0.8","1.05","1","0.925","0.8","1.05","2020-08-26","N"
"LX113583","2020-08-26","0.8","1.05","1","0.925","0.8","1.05","2020-08-26","N"
"LX113702","2020-08-26","5.5","8","2","6.75","5.5","8","2020-08-26","N"
"LX113706","2020-08-26","45","55","1","50","45","55","2020-08-26","N"
"LX113765","2020-08-26","95.5","97.5","1","96.5","95.5","97.5","2020-08-26","N"
"LX114191","2020-08-26","20","24","1","22","20","24","2020-08-26","N"
"LX114195","2020-08-26","2","3","1","2.5","2","3","2020-08-26","N"
"LX114232","2020-08-26","0.9","1","1","0.95","0.9","1","2020-08-26","N"
"LX114904","2020-08-26","0.05","0.1","1","0.075","0.05","0.1","2020-08-26","N"
"LX114905","2020-08-26","0.15","0.35","1","0.25","0.15","0.35","2020-08-26","N"
"LX114914","2020-08-26","2.34","2.35","1","2.345","2.34","2.35","2020-08-26","N"
"LX114924","2020-08-26","97","97.5","1","97.25","97","97.5","2020-08-26","N"
"LX115992","2020-08-26","3","5","1","4","3","5","2020-08-26","N"
"LX116034","2020-08-26","12","15","1","13.5","12","15","2020-08-26","N"
"LX116035","2020-08-26","22.167","24.333","3","23.25","22.167","24.333","2020-08-26","N"
"LX116232","2020-08-26","6.333","7.167","3","6.75","6.333","7.167","2020-08-26","N"
"LX116558","2020-08-26","22.43","22.44","1","22.435","22.43","22.44","2020-08-26","N"
"LX116747","2020-08-26","98.557","99.557","implied","99.057","98.557","99.557","2020-08-26","N"
"LX116770","2020-08-26","0.75","0.95","1","0.85","0.75","0.95","2020-08-26","N"
"LX116844","2020-08-26","24.5","25.5","1","25","24.5","25.5","2020-08-26","N"
"LX116854","2020-08-26","0.1","0.3","1","0.2","0.1","0.3","2020-08-26","N"
"LX116891","2020-08-26","55","58","1","56.5","55","58","2020-08-26","N"
"LX117175","2020-08-26","92","95","1","93.5","92","95","2020-08-26","N"
"LX117227","2020-08-26","14.5","16.5","1","15.5","14.5","16.5","2020-08-26","N"
"LX117280","2020-08-26","26.167","28.5","3","27.3335","26.167","28.5","2020-08-26","N"
"LX117291","2020-08-26","75.4","77.2","5","76.3","75.4","77.2","2020-08-26","N"
"LX117802","2020-08-26","99.5","100.5","1","","","","","N"
"LX118130","2020-08-26","3.09","3.1","1","3.095","3.09","3.1","2020-08-26","N"
"LX118164","2020-08-26","3.09","3.1","1","3.095","3.09","3.1","2020-08-26","N"
"LX118318","2020-08-26","68","70","1","69","68","70","2020-08-26","N"
"LX118333","2020-08-26","5.167","7.5","3","6.3335","5.167","7.5","2020-08-26","N"
"LX118605","2020-08-26","3","5","1","4","3","5","2020-08-26","N"
"LX118712","2020-08-26","330","380","1","355","330","380","2020-08-26","N"
"LX118842","2020-08-26","0.8","1.05","1","0.925","0.8","1.05","2020-08-26","N"
"LX118843","2020-08-26","0.8","1.05","1","0.925","0.8","1.05","2020-08-26","N"
"LX118844","2020-08-26","0.8","1.05","1","0.925","0.8","1.05","2020-08-26","N"
"LX119272","2020-08-26","97.445","98.132","implied","97.802","97.472","98.132","2020-08-26","N"
"LX119407","2020-08-26","3.117","5.117","3","4.117","3.117","5.117","2020-08-26","N"
"LX119408","2020-08-26","3.117","5.117","3","4.117","3.117","5.117","2020-08-26","N"
"LX119409","2020-08-26","3.117","5.117","3","4.117","3.117","5.117","2020-08-26","N"
"LX119410","2020-08-26","90","92","2","91","90","92","2020-08-26","N"
"LX119412","2020-08-26","74.75","76.75","2","75.75","74.75","76.75","2020-08-26","N"
"LX119413","2020-08-26","74.75","76.75","2","75.75","74.75","76.75","2020-08-26","N"
"LX119414","2020-08-26","74.75","76.75","2","75.75","74.75","76.75","2020-08-26","N"
"LX119415","2020-08-26","68","70","2","69","68","70","2020-08-26","N"
"LX119514","2020-08-26","57","58","1","57.5","57","58","2020-08-26","N"
"LX119521","2020-08-26","1","6","1","3.5","1","6","2020-08-26","N"
"LX120014","2020-08-26","98.265","99.515","implied","98.89","98.265","99.515","2020-08-26","N"
"LX120150","2020-08-26","8.25","11.75","2","10","8.25","11.75","2020-08-26","N"
"LX120365","2020-08-26","16","18","1","17","16","18","2020-08-26","N"
"LX120908","2020-08-26","80","90","1","85","80","90","2020-08-26","N"
"LX121220","2020-08-26","4","6","1","5","4","6","2020-08-26","N"
"LX121378","2020-08-26","30","33","1","31.5","30","33","2020-08-26","N"
"LX121538","2020-08-26","96.5","97.5","1","97","96.5","97.5","2020-08-26","N"
"LX121812","2020-08-26","97","100","1","98.5","97","100","2020-08-26","N"
"LX121877","2020-08-26","0","0.5","1","0.25","0","0.5","2020-08-26","N"
"LX121883","2020-08-26","0","0.5","1","0.25","0","0.5","2020-08-26","N"
"LX121884","2020-08-26","0","0.5","1","0.25","0","0.5","2020-08-26","N"
"LX121964","2020-08-26","96.5","98.5","1","97.5","96.5","98.5","2020-08-26","N"
"LX122328","2020-08-26","7","10","1","8.5","7","10","2020-08-26","N"
"LX122599","2020-08-26","1.55","1.65","1","1.6","1.55","1.65","2020-08-26","N"
"LX122830","2020-08-26","97.75","98.25","1","98","97.75","98.25","2020-08-26","N"
"LX122960","2020-08-26","93","96","1","94.5","93","96","2020-08-26","N"
"LX123115","2020-08-26","6","8","1","7","6","8","2020-08-26","N"
"LX123121","2020-08-26","99.5","100","1","99.75","99.5","100","2020-08-26","N"
"LX123150","2020-08-26","2.2","2.6","1","2.4","2.2","2.6","2020-08-26","N"
"LX123151","2020-08-26","1.5","1.75","1","1.625","1.5","1.75","2020-08-26","N"
"LX123513","2020-08-26","87","89","1","88","87","89","2020-08-26","N"
"LX123556","2020-08-26","6.333","6.958","3","6.6455","6.333","6.958","2020-08-26","N"
"LX123690","2020-08-26","95.563","97.354","6","96.4585","95.563","97.354","2020-08-26","N"
"LX123866","2020-08-26","93","95","1","94","93","95","2020-08-26","N"
"LX123875","2020-08-26","85","95","1","90","85","95","2020-08-26","N"
"LX124103","2020-08-26","4","6","1","5","4","6","2020-08-26","N"
"LX124205","2020-08-26","1","5","1","3","1","5","2020-08-26","N"
"LX124428","2020-08-26","63","73","1","68","63","73","2020-08-26","N"
"LX124429","2020-08-26","63","73","1","68","63","73","2020-08-26","N"
"LX124430","2020-08-26","63","73","1","68","63","73","2020-08-26","N"
"LX126189","2020-08-26","90","95","1","92.5","90","95","2020-08-26","N"
"LX126434","2020-08-26","60","65","1","62.5","60","65","2020-08-26","N"
"LX126435","2020-08-26","60","65","1","62.5","60","65","2020-08-26","N"
"LX126436","2020-08-26","60","65","1","62.5","60","65","2020-08-26","N"
"LX126446","2020-08-26","93.998","95.573","implied","94.7855","93.998","95.573","2020-08-26","N"
"LX126631","2020-08-26","0.95","1.1","1","1.025","0.95","1.1","2020-08-26","N"
"LX126904","2020-08-26","98.258","98.826","3","98.542","98.258","98.826","2020-08-26","N"
"LX126958","2020-08-26","10","20","1","15","10","20","2020-08-26","N"
"LX126959","2020-08-26","5","15","1","10","5","15","2020-08-26","N"
"LX127098","2020-08-26","96","96.5","1","96.25","96","96.5","2020-08-26","N"
"LX127302","2020-08-26","99.5","100","1","99.75","99.5","100","2020-08-26","N"
"LX127554","2020-08-26","97","98","1","97.5","97","98","2020-08-26","N"
"LX127555","2020-08-26","93.873","94.873","implied","94.373","93.873","94.873","2020-08-26","N"
"LX127644","2020-08-26","0.5","0.75","1","0.625","0.5","0.75","2020-08-26","N"
"LX127645","2020-08-26","0.5","0.75","1","0.625","0.5","0.75","2020-08-26","N"
"LX127674","2020-08-26","98.75","99.75","1","99.25","98.75","99.75","2020-08-26","N"
"LX127712","2020-08-26","90","92","1","91","90","92","2020-08-26","N"
"LX127780","2020-08-26","0.1","1","1","0.55","0.1","1","2020-08-26","N"
"LX128124","2020-08-26","35","40","4","37.5","35","40","2020-08-26","N"
"LX128136","2020-08-26","7","8","1","7.5","7","8","2020-08-26","N"
"LX128137","2020-08-26","0.1","0.15","1","0.125","0.1","0.15","2020-08-26","N"
"LX128262","2020-08-26","88","90","1","89","88","90","2020-08-26","N"
"LX128339","2020-08-26","97","98","1","97.5","97","98","2020-08-26","N"
"LX128340","2020-08-26","97","98","1","97.5","97","98","2020-08-26","N"
"LX128462","2020-08-26","99.25","100","1","99.625","99.25","100","2020-08-26","N"
"LX128463","2020-08-26","98.807","99.682","implied","99.2445","98.807","99.682","2020-08-26","N"
"LX128719","2020-08-26","1","5","1","3","1","5","2020-08-26","N"
"LX128720","2020-08-26","1","5","1","3","1","5","2020-08-26","N"
"LX128842","2020-08-26","18","20","1","19","18","20","2020-08-26","N"
"LX128862","2020-08-26","4.667","7","3","5.8335","4.667","7","2020-08-26","N"
"LX128884","2020-08-26","98.807","99.682","implied","99.2445","98.807","99.682","2020-08-26","N"
"LX128917","2020-08-26","94.564","95.453","implied","95.0155","94.564","95.467","2020-08-26","N"
"LX129132","2020-08-26","95.5","96.5","1","96","95.5","96.5","2020-08-26","N"
"LX129146","2020-08-26","99.5","100","1","99.75","99.5","100","2020-08-26","N"
"LX129284","2020-08-26","97","98","1","97.5","97","98","2020-08-26","N"
"LX129656","2020-08-26","5","15","1","10","5","15","2020-08-26","N"
"LX129839","2020-08-26","99.5","100","1","99.75","99.5","100","2020-08-26","N"
"LX129905","2020-08-26","92.85","94.95","5","93.9","92.85","94.95","2020-08-26","N"
"LX129907","2020-08-26","80","83.333","3","81.6665","80","83.333","2020-08-26","N"
"LX129910","2020-08-26","62","72","1","67","62","72","2020-08-26","N"
"LX129911","2020-08-26","98","103","1","100.5","98","103","2020-08-26","N"
"LX130006","2020-08-26","35","40","1","37.5","35","40","2020-08-26","N"
"LX130759","2020-08-26","45","55","1","50","45","55","2020-08-26","N"
"LX130766","2020-08-26","20.833","23.167","3","22","20.833","23.167","2020-08-26","N"
"LX131033","2020-08-26","89.5","91.5","1","90.5","89.5","91.5","2020-08-26","N"
"LX131063","2020-08-26","45","55","1","50","45","55","2020-08-26","N"
"LX131070","2020-08-26","93.92","94.764","implied","94.342","93.92","94.764","2020-08-26","N"
"LX131096","2020-08-26","97.5","99.5","2","98.5","97.5","99.5","2020-08-26","N"
"LX131301","2020-08-26","93.769","94.637","implied","94.203","93.769","94.637","2020-08-26","N"
"LX131473","2020-08-26","99.25","100.25","1","99.75","99.25","100.25","2020-08-26","N"
"LX131507","2020-08-26","70","75","1","72.5","70","75","2020-08-26","N"
"LX131660","2020-08-26","98.282","99.582","implied","98.932","98.282","99.582","2020-08-26","N"
"LX131833","2020-08-26","7","18","1","12.5","7","18","2020-08-26","N"
"LX132080","2020-08-26","99.25","99.75","1","99.5","99.25","99.75","2020-08-26","N"
"LX132154","2020-08-26","98","99","1","","","","","N"
"LX132200","2020-08-26","88.656","90.906","4","89.781","88.656","90.906","2020-08-26","N"
"LX132390","2020-08-26","97","98","1","","","","","N"
"LX132482","2020-08-26","57","60.625","4","58.8125","57","60.625","2020-08-26","N"
"LX132580","2020-08-26","22.34","22.39","1","22.365","22.34","22.39","2020-08-26","N"
"LX132585","2020-08-26","11","16","1","13.5","11","16","2020-08-26","N"
"LX132635","2020-08-26","2.3","2.31","1","2.305","2.3","2.31","2020-08-26","N"
"LX132647","2020-08-26","1.46","1.625","2","1.5425","1.46","1.625","2020-08-26","N"
"LX132714","2020-08-26","0.02","0.045","2","0.0325","0.02","0.045","2020-08-26","N"
"LX132726","2020-08-26","0.3","0.32","2","0.31","0.3","0.32","2020-08-26","N"
"LX133004","2020-08-26","98.667","100.333","3","99.5","98.667","100.333","2020-08-26","N"
"LX133019","2020-08-26","80","82.75","4","81.375","80","82.75","2020-08-26","N"
"LX133020","2020-08-26","80","82.667","3","81.3335","80","82.667","2020-08-26","N"
"LX133156","2020-08-26","83","86","1","","","","","N"
"LX133183","2020-08-26","0.141","0.19","1","0.1655","0.141","0.19","2020-08-26","N"
"LX133194","2020-08-26","95","95","1","95","95","95","2020-08-26","N"
"LX133218","2020-08-26","89.85","91.05","10","90.45","89.85","91.05","2020-08-26","N"
"LX133241","2020-08-26","96.5","97","1","96.75","96.5","97","2020-08-26","N"
"LX133243","2020-08-26","93.373","93.873","implied","93.623","93.373","93.873","2020-08-26","N"
"LX133355","2020-08-26","99.75","100.25","1","100","99.75","100.25","2020-08-26","N"
"LX133411","2020-08-26","68.227","72","11","70.1135","68.227","72","2020-08-26","N"
"LX133412","2020-08-26","67","69","implied","68","67","69","2020-08-26","N"
"LX133442","2020-08-26","98.557","99.557","implied","99.057","98.557","99.557","2020-08-26","N"
"LX133451","2020-08-26","13.75","17.411","7","15.5805","13.75","17.411","2020-08-26","N"
"LX133474","2020-08-26","96.5","97","1","96.75","96.5","97","2020-08-26","N"
"LX133737","2020-08-26","66.839","70.161","7","68.5","66.839","70.161","2020-08-26","N"
"LX133738","2020-08-26","5","9","4","7","5","9","2020-08-26","N"
"LX133776","2020-08-26","67","69","1","68","67","69","2020-08-26","N"
"LX133850","2020-08-26","2","8","1","5","2","8","2020-08-26","N"
"LX133984","2020-08-26","97","98","1","97.5","97","98","2020-08-26","N"
"LX134107","2020-08-26","0.01","0.25","1","0.13","0.01","0.25","2020-08-26","N"
"LX134268","2020-08-26","93.904","94.811","implied","94.3575","93.904","94.811","2020-08-26","N"
"LX134271","2020-08-26","99.75","100.25","1","100","99.75","100.25","2020-08-26","N"
"LX134289","2020-08-26","22","25","1","23.5","22","25","2020-08-26","N"
"LX134298","2020-08-26","22","28","1","25","22","28","2020-08-26","N"
"LX134301","2020-08-26","22","28","1","25","22","28","2020-08-26","N"
"LX134305","2020-08-26","22","28","1","25","22","28","2020-08-26","N"
"LX134440","2020-08-26","0.01","0.5","1","0.255","0.01","0.5","2020-08-26","N"
"LX134485","2020-08-26","97.047","97.891","8","97.469","97.047","97.891","2020-08-26","N"
"LX134586","2020-08-26","83.611","85.833","9","84.722","83.611","85.833","2020-08-26","N"
"LX134592","2020-08-26","69.246","72.246","implied","70.746","69.246","72.246","2020-08-26","N"
"LX134639","2020-08-26","90","95","1","92.5","90","95","2020-08-26","N"
"LX134666","2020-08-26","96","96.5","1","96.25","96","96.5","2020-08-26","N"
"LX134757","2020-08-26","96","97","1","96.5","96","97","2020-08-26","N"
"LX134817","2020-08-26","86.925","88.55","5","87.7375","86.925","88.55","2020-08-26","N"
"LX134850","2020-08-26","0.01","0.03","1","0.02","0.01","0.03","2020-08-26","N"
"LX134857","2020-08-26","95.625","96.875","2","96.25","95.625","96.875","2020-08-26","N"
"LX134858","2020-08-26","95.625","96.875","2","96.25","95.625","96.875","2020-08-26","N"
"LX134864","2020-08-26","98.75","100.25","2","99.5","98.75","100.25","2020-08-26","N"
"LX134879","2020-08-26","99","99.875","2","99.4375","99","99.875","2020-08-26","N"
"LX134881","2020-08-26","98.18","99.055","implied","98.6175","98.18","99.055","2020-08-26","N"
"LX134882","2020-08-26","37.667","40","3","38.8335","37.667","40","2020-08-26","N"
"LX134883","2020-08-26","7.5","12.5","2","10","7.5","12.5","2020-08-26","N"
"LX135066","2020-08-26","89.833","92","3","90.9165","89.833","92","2020-08-26","N"
"LX135169","2020-08-26","83","86","1","84.5","83","86","2020-08-26","N"
"LX135212","2020-08-26","1.05","1.3","1","1.175","1.05","1.3","2020-08-26","N"
