LoanX ID,Mark Date,Bid,Offer,Depth,Evaluated Price,Close Bid,Close Offer,Close Date,Contributed
"LX174686","2020-08-25","1.25","3.85","5","2.55","1.25","3.85","2020-08-25","N"
"LX174687","2020-08-25","1.125","2.875","2","2","1.125","2.875","2020-08-25","N"
"LX174690","2020-08-25","95","97","1","96","95","97","2020-08-25","N"
"LX174691","2020-08-25","94","95","1","94.5","94","95","2020-08-25","N"
"LX174692","2020-08-25","95","97","1","96","95","97","2020-08-25","N"
"LX174699","2020-08-25","80.667","84.333","3","82.5","80.667","84.333","2020-08-25","N"
"LX174700","2020-08-25","98","100","1","99","98","100","2020-08-25","N"
"LX174704","2020-08-25","87.375","89.625","4","88.5","87.375","89.625","2020-08-25","N"
"LX174705","2020-08-25","83.469","85.719","8","84.594","83.469","85.719","2020-08-25","N"
"LX174733","2020-08-25","82.913","85.913","implied","84.413","82.913","85.913","2020-08-25","N"
"LX174753","2020-08-25","99.75","100.25","1","100","99.75","100.25","2020-08-25","N"
"LX174754","2020-08-25","95","98","1","96.5","95","98","2020-08-25","N"
"LX174756","2020-08-25","91.873","94.873","implied","93.373","91.873","94.873","2020-08-25","N"
"LX174757","2020-08-25","91.873","94.873","implied","93.373","91.873","94.873","2020-08-25","N"
"LX174758","2020-08-25","4","8","1","6","4","8","2020-08-25","N"
"LX174759","2020-08-25","4","8","1","6","4","8","2020-08-25","N"
"LX174760","2020-08-25","4","8","1","6","4","8","2020-08-25","N"
"LX174781","2020-08-25","96.792","97.958","3","97.375","96.792","97.958","2020-08-25","N"
"LX174790","2020-08-25","97.93","98.68","implied","98.305","97.93","98.68","2020-08-25","N"
"LX174792","2020-08-25","93.014","94.014","implied","93.514","93.014","94.014","2020-08-25","N"
"LX174793","2020-08-25","97.93","98.68","implied","98.305","97.93","98.68","2020-08-25","N"
"LX174794","2020-08-25","99","100","1","99.5","99","100","2020-08-25","N"
"LX174795","2020-08-25","98.18","99.18","implied","98.68","98.18","99.18","2020-08-25","N"
"LX174803","2020-08-25","98.633","99.415","implied","99.0395","98.649","99.43","2020-08-25","N"
"LX174813","2020-08-25","97","98","1","97.5","97","98","2020-08-25","N"
"LX174814","2020-08-25","93.873","94.873","implied","94.373","93.873","94.873","2020-08-25","N"
"LX174818","2020-08-25","88","93","1","90.5","88","93","2020-08-25","N"
"LX174821","2020-08-25","93.203","94.328","8","93.7655","93.203","94.328","2020-08-25","N"
"LX174822","2020-08-25","91.063","92.938","4","92.0005","91.063","92.938","2020-08-25","N"
"LX174823","2020-08-25","90.076","91.201","implied","90.6385","90.076","91.201","2020-08-25","N"
"LX174824","2020-08-25","94.75","96.25","2","95.5","94.75","96.25","2020-08-25","N"
"LX174825","2020-08-25","91.623","93.123","implied","92.373","91.623","93.123","2020-08-25","N"
"LX174826","2020-08-25","92.125","94.625","4","93.375","92.125","94.625","2020-08-25","N"
"LX174827","2020-08-25","75","78.5","2","76.75","75","78.5","2020-08-25","N"
"LX174828","2020-08-25","90.833","93.833","3","92.333","90.833","93.833","2020-08-25","N"
"LX174830","2020-08-25","88.623","91.623","implied","90.123","88.623","91.623","2020-08-25","N"
"LX174841","2020-08-25","80.833","82.833","3","81.833","80.833","82.833","2020-08-25","N"
"LX174842","2020-08-25","76.746","78.746","implied","77.746","76.746","78.746","2020-08-25","N"
"LX174843","2020-08-25","64","66","2","65","64","66","2020-08-25","N"
